"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","AR465","M48","NRS1","P10","R50","V521"
"sdrC","","Serine-aspartate repeat-containing protein C","6","6","1","1","413","","","","2453","2861","2763","AR465_01062","M48_00609","NRS1_00475","P10_00276","R50_00475","V521_00647"
"group_108","","hypothetical protein","6","6","1","1","2420","","","","143","149","148","AR465_01341","M48_02056","NRS1_01445","P10_01585","R50_01445","V521_02106"
"group_109","","hypothetical protein","6","6","1","1","2412","","","","200","200","200","AR465_01342","M48_02055","NRS1_01444","P10_01586","R50_01444","V521_02105"
"dnaE","","DNA polymerase III subunit alpha","6","6","1","1","2048","","","","2246","3197","3038","AR465_01640","M48_01685","NRS1_01684","P10_01884","R50_01684","V521_01736"
"group_114","","hypothetical protein","6","6","1","1","3313","","","","614","986","862","AR465_02335","M48_00984","NRS1_00914","P10_02644","R50_00914","V521_01029"
"isdH","","Iron-regulated surface determinant protein H","6","6","1","1","2020","","","","2210","2687","2603","AR465_01612","M48_01712","NRS1_01713","P10_01857","R50_01713","V521_01763"
"aldC_1","","Alpha-acetolactate decarboxylase","6","6","1","1","3194","","","","524","704","674","AR465_00005","M48_02450","NRS1_02138","P10_01304","R50_02138","V521_02489"
"yhaI","","hypothetical protein","6","6","1","1","3057","","","","398","647","555","AR465_00137","M48_02579","NRS1_02263","P10_01172","R50_02263","V521_02619"
"hrtA_2","","Putative hemin import ATP-binding protein HrtA","6","6","1","1","3040","","","","290","665","602","AR465_00153","M48_02596","NRS1_02280","P10_01156","R50_02280","V521_02636"
"group_134","","hypothetical protein","6","6","1","1","23","","","","638","914","822","AR465_00182","M48_02625","NRS1_02308","P10_01128","R50_02308","V521_02664"
"femA_3","","Aminoacyltransferase FemA","6","6","1","1","47","","","","626","1250","1146","AR465_00204","M48_02648","NRS1_02330","P10_01106","R50_02330","V521_02688"
"sbi","","Immunoglobulin-binding protein Sbi","6","6","1","1","55","","","","1280","1313","1306","AR465_00212","M48_02656","NRS1_02338","P10_01098","R50_02338","V521_02696"
"cycA_2","","D-serine/D-alanine/glycine transporter","6","6","1","1","74","","","","749","1409","1299","AR465_00231","M48_02675","NRS1_02357","P10_01079","R50_02357","V521_02715"
"group_143","","hypothetical protein","6","6","1","1","138","","","","308","308","308","AR465_00286","M48_02722","NRS1_02412","P10_01025","R50_02412","V521_02763"
